ID,Name,Country,Latitude,Longitude
SPXX0059,Murcia,Espagne,37.98,-1.12
SPXX0061,Palma-De-Majorque,Espagne,39.55,2.73
SPXX0066,Sabadell,Espagne,41.55,2.1
SPXX0073,Sestao,Espagne,43.3,-3.0
SPXX0078,Torrelavega,Espagne,43.35,-4.05
SPXX0080,Utebo,Espagne,41.72,-1.0
SPXX0085,Vilanova-I-La-Geltru,Espagne,41.23,1.73
SPXX0092,Ayamonte,Espagne,37.22,-7.4
SPXX0100,Cuenca,Espagne,40.07,-2.13
SPXX0104,Huescar,Espagne,37.82,-2.53
SPXX0109,Lorca,Espagne,37.67,-1.7
SPXX0111,Merida,Espagne,38.92,-6.33
SPXX0116,Priego,Espagne,40.45,-2.3
SPXX0135,Arenas-De-San-Pedro,Espagne,40.2,-5.08
SPXX0147,Lalin,Espagne,42.66,-8.1
SPXX0154,Morforte-De-Lemos,Espagne,42.52,-7.5
SPXX0166,Covadonga,Espagne,43.32,-5.05
SPXX0173,Langreo,Espagne,43.3,-5.68
SPXX0178,Potocolom,Espagne,39.4,3.25
SPXX0180,Reinosa,Espagne,43.0,-4.13
SPXX0192,Leon-Virgen-Del-Camino,Espagne,42.58,-5.65
SPXX0197,Albacete-Los-Llanos,Espagne,38.95,-1.85
SPXX0200,Granada-Aeropuerto,Espagne,37.18,-3.78
SPXX0205,Calamocha,Espagne,40.92,-1.28
SPXX0224,Vitoria,Espagne,42.85,-2.67
SPXX0229,Zamora,Espagne,41.51,-5.74
SPXX0231,Avila,Espagne,40.65,-4.7
SPXX0236,Boi-Taull,Espagne,42.48,0.87
SPXX0003,Alcazar-De-San-Juan,Espagne,39.4,-3.2
SPXX0008,Alicante,Espagne,38.38,-0.52
SPXX0010,Aranjuez,Espagne,40.03,-3.6
SPXX0015,Barcelona,Espagne,41.28,2.07
SPXX0022,Ceuta,Espagne,35.88,-5.32
SPXX0027,Dos-Hermanas,Espagne,37.28,-5.92
SPXX0034,El-Puerto-De-Santa-Maria,Espagne,36.6,-6.23
SPXX0039,Getafe,Espagne,40.3,-3.72
SPXX0041,Guadalajara,Espagne,40.63,-3.17
SPXX0046,Jerez-De-La-Frontera,Espagne,36.68,-6.13
SPXX0053,Manacor,Espagne,39.57,3.2
SPXX0058,Motril,Espagne,36.75,-3.52
SPXX0060,Muriedas,Espagne,43.43,-3.85
SPXX0072,Santander,Espagne,43.47,-3.8
SPXX0077,Toledo,Espagne,39.87,-4.02
SPXX0084,Vigo,Espagne,42.23,-8.72
SPXX0089,Antequera,Espagne,37.02,-4.55
SPXX0091,Armilla,Espagne,37.15,-3.62
SPXX0110,Lugo,Espagne,43.0,-7.57
SPXX0115,Pontevedra,Espagne,42.43,-8.63
SPXX0122,Sahagun,Espagne,42.37,-5.03
SPXX0139,Cazalla-De-La-Sierra,Espagne,37.93,-5.75
SPXX0141,Figueras,Espagne,42.26,2.95
SPXX0146,Hinojosa-Del-Duque,Espagne,38.5,-5.14
SPXX0153,Molina-De-Aragon,Espagne,40.84,-1.88
SPXX0165,Benidorm,Espagne,38.54,-0.13
SPXX0172,Isla-De-Alboran,Espagne,35.9,-3.03
SPXX0177,Pajares,Espagne,43.57,-5.69
SPXX0189,La-Corogne,Espagne,43.37,-8.42
SPXX0191,San-Sebastian,Espagne,43.3,-2.05
SPXX0196,Salamanque,Espagne,40.95,-5.5
SPXX0204,Caceres,Espagne,39.48,-6.37
SPXX0209,Tortosa,Espagne,40.82,0.5
SPXX0211,Viso-Del-Marques,Espagne,38.52,-3.53
SPXX0223,Orense,Espagne,42.33,-7.85
SPXX0228,Palencia,Espagne,42.02,-4.53
SPXX0230,Teruel,Espagne,40.34,-1.1
SPXX0002,Alcala-De-Henares,Espagne,40.48,-3.37
SPXX0007,Alcudia,Espagne,39.87,3.12
SPXX0014,Baracaldo,Espagne,43.3,-2.98
SPXX0019,Cartagena,Espagne,37.6,-0.98
SPXX0021,Castellon-De-La-Plana,Espagne,39.98,-0.03
SPXX0026,Donostia-San-Sebastian,Espagne,43.32,-1.98
SPXX0033,El-Prat-De-Llobregat,Espagne,41.33,2.1
SPXX0038,Gerona,Espagne,41.98,2.82
SPXX0040,Grenade,Espagne,37.22,-3.68
SPXX0045,Jaen,Espagne,37.77,-3.78
SPXX0052,Malaga,Espagne,36.72,-4.42
SPXX0057,Mostoles,Espagne,40.32,-3.85
SPXX0064,Premia-De-Mar,Espagne,41.48,2.37
SPXX0069,Santa-Coloma-De-Gramanet,Espagne,41.45,2.22
SPXX0071,Santa-Pola,Espagne,38.18,-0.55
SPXX0076,Tarragone,Espagne,41.12,1.25
SPXX0083,Vicaire,Espagne,36.83,-2.63
SPXX0088,Algeciras,Espagne,36.13,-5.45
SPXX0090,Aracena,Espagne,37.88,-6.55
SPXX0095,Calatayud,Espagne,41.35,-1.63
SPXX0102,Elizondo,Espagne,43.15,-1.52
SPXX0114,Pampelune,Espagne,42.82,-1.63
